Produto,Link,location,day,error
Placa de Vídeo ASUS TUF Gaming RX 6700 xt,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-asus-tuf-gaming-rx-6700-xt-1411356538,"Belo Horizonte, Conjunto Taquaril","Ontem, 20:52","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(10).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo GeForce RTX 3060TI 8gb Ghost - Iluminação RGB,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-geforce-rtx-3060ti-8gb-ghost-iluminacao-rgb-1411317756,"Belo Horizonte, Vila Paris","Ontem, 18:23","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(14).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo SOYO - Desempenho e Qualidade!,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-soyo-desempenho-e-qualidade-1411201587,Jacutinga,"Ontem, 14:49","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(21).locator(""div.olx-adcard__mediumbody h3.olx-text.olx-text--body-large.olx-text--block.olx-text--semibold.olx-adcard__price"")
"
Placa de Vídeo GT 705,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gt-705-1411182422,"Contagem, Parque Xangri-Lá","Ontem, 13:59","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(23).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo Gigabyte - Perfeita para jogos e edição!,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-gigabyte-perfeita-para-jogos-e-edicao-1411180046,"Betim, Jardim das Alterosas 1ª Seção","Ontem, 13:47","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(24).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Gigabyte GeForce GTX 1060 6gb - Windforce OC,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-gigabyte-geforce-gtx-1060-6gb-windforce-oc-1378482989,Januária,"Ontem, 06:15","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(36).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo ASUS ROG Strix GeForce RTX 3080 OC 10GB,https://mg.olx.com.br/regiao-de-montes-claros-e-diamantina/informatica/placas-de-video/placa-de-video-asus-rog-strix-geforce-rtx-3080-oc-10gb-1411019837,"Montes Claros, Jardim Primavera","Ontem, 00:11","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(39).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo GeForce GTX 1050 Ti Gigabyte na caixa,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-geforce-gtx-1050-ti-gigabyte-na-caixa-1411000015,"Varginha, Parque Boa Vista","9 de jun, 21:46","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(45).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo 51RISC RX 5700XT,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-51risc-rx-5700xt-1410958344,"Belo Horizonte, Caiçaras","9 de jun, 18:50","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(49).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Video Zotac GeForce GTX 1660 Super 6GB Twin Fan 192-bit,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-zotac-geforce-gtx-1660-super-6gb-twin-fan-192-bit-1410947584,"Itaúna, Morada Nova","9 de jun, 17:53","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(50).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de vídeo RX 480 8GB 3 fans,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rx-480-8gb-3-fans-1410703470,"Contagem, Parque Xangri-Lá","8 de jun, 20:06","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(36).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo Galax GeForce GTX 1660 ,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-galax-geforce-gtx-1660-1401653137,"Sabará, Vila Rica","8 de jun, 19:59","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(37).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo PowerColor Red Devil RX 6700 XT,https://mg.olx.com.br/regiao-de-divinopolis/informatica/placas-de-video/placa-de-video-powercolor-red-devil-rx-6700-xt-1410595924,Bambuí,"8 de jun, 07:53","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(45).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Vendo ou troco placa de Vídeo rx 550 4gb por outra melhor e um volta minha ,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/vendo-ou-troco-placa-de-video-rx-550-4gb-por-outra-melhor-e-um-volta-minha-1410581934,"Barbacena, Centro","8 de jun, 02:29","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(47).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
 Vendo Placa de Vídeo GPU NVIDIA GEFORCE RTX 3060 12GB DDR6 192 BIT,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/vendo-placa-de-video-gpu-nvidia-geforce-rtx-3060-12gb-ddr6-192-bit-1410577120,"Juiz de Fora, São Mateus","8 de jun, 00:21","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(48).locator(""div.olx-adcard__mediumbody h3.olx-text.olx-text--body-large.olx-text--block.olx-text--semibold.olx-adcard__price"")
"
Placa de Vídeo EVGA GeForce GTX 780 Ti,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/placa-de-video-evga-geforce-gtx-780-ti-1410574901,"Uberlândia, Planalto","7 de jun, 23:27","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(49).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo RX 6700xt,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-rx-6700xt-1410453328,Vespasiano,"7 de jun, 10:06","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(9).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
Placa de Vídeo PowerColor Red Dragon RX 580,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-powercolor-red-dragon-rx-580-1410391569,"Belo Horizonte, Independência (Barreiro)","7 de jun, 01:03","Locator.inner_text: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""section.olx-adcard.olx-adcard__horizontal.undefined"").nth(13).locator(""div.olx-adcard__price-info span.olx-text.olx-text--caption.olx-text--inline.olx-text--bold"")
"
